"class_id","class_name","last_modified_date"
1,KHMT15D,2023-05-13
2,CNTT15C,2023-05-13
3,KTPM16B,2023-05-13
4,CNTT15B,2023-05-13
5,CNTT16A,2023-05-13
6,KHDLK16A,2023-05-13
7,KHMT15B,2023-05-13
8,KHMT15A,2023-05-13
9,KHDLK15D,2023-05-13
10,HTTT15B,2023-05-13
11,CNTT15A,2023-05-13
12,HTTT16A,2023-05-13
13,KHDLK15C,2023-05-13
14,CNTT15D,2023-05-13
15,KTPM15D,2023-05-13
16,KHDLK15B,2023-05-13
17,KTPM15C,2023-05-13
18,KTPM15E,2023-05-13
19,KHDLK15A,2023-05-13
20,KHMT16A,2023-05-13
21,CNTT15E,2023-05-13
22,KHMT15C,2023-05-13
23,HTTT15D,2023-05-13
24,HTTT15E,2023-05-13
25,KHMT15F,2023-05-13
26,CNTT16B,2023-05-13
27,KTPM15A,2023-05-13
28,KTPM15B,2023-05-13
29,KTPM16A,2023-05-13
30,HTTT15C,2023-05-13
31,KHMT15E,2023-05-13
32,KHDLK15E,2023-05-13
33,HTTT15A,2023-05-13
34,KHMT16B,2023-05-13
